ID,ProvinsiID,NamaProvinsi,BudidayaID,Budidaya,Tahun,Jumlah
302,15,Jambi,0,semua budidaya,2011,33108
303,16,Sumatera Selatan,0,semua budidaya,2011,158141
304,17,Bengkulu,0,semua budidaya,2011,14717
305,18,Lampung,0,semua budidaya,2011,191562
306,19,Kepulauan Bangka Belitung,0,semua budidaya,2011,2718
307,21,Kepulauan Riau,0,semua budidaya,2011,25619
308,31,DKI Jakarta,0,semua budidaya,2011,9142
309,32,Jawa Barat,0,semua budidaya,2011,580981
310,33,Jawa Tengah,0,semua budidaya,2011,579867
311,34,DI Yogyakarta,0,semua budidaya,2011,152966
312,35,Jawa Timur,0,semua budidaya,2011,299542
313,36,Banten,0,semua budidaya,2011,34187
314,51,Bali,0,semua budidaya,2011,33982
315,52,Nusa Tenggara Barat,0,semua budidaya,2011,66793
316,53,Nusa Tenggara Timur,0,semua budidaya,2011,98760
317,61,Kalimantan Barat,0,semua budidaya,2011,85728
318,62,Kalimantan Tengah,0,semua budidaya,2011,55635
319,63,Kalimantan Selatan,0,semua budidaya,2011,5773
320,64,Kalimantan Timur,0,semua budidaya,2011,66656
321,71,Sulawesi Utara,0,semua budidaya,2011,19786
322,72,Sulawesi Tengah,0,semua budidaya,2011,82299
323,73,Sulawesi Selatan,0,semua budidaya,2011,212152
324,74,Sulawesi Tenggara,0,semua budidaya,2011,100580
325,75,Gorontalo,0,semua budidaya,2011,14344
326,76,Sulawesi Barat,0,semua budidaya,2011,65706
327,81,Maluku,0,semua budidaya,2011,55180
328,82,Maluku Utara,0,semua budidaya,2011,9853
329,91,Papua Barat,0,semua budidaya,2011,6544
330,94,Papua,0,semua budidaya,2011,21495
331,11,Aceh,0,semua budidaya,2012,139923
332,12,Sumatera Utara,0,semua budidaya,2012,104835
333,13,Sumatera Barat,0,semua budidaya,2012,91365
334,14,Riau,0,semua budidaya,2012,73302
335,15,Jambi,0,semua budidaya,2012,66630
336,16,Sumatera Selatan,0,semua budidaya,2012,194731
337,17,Bengkulu,0,semua budidaya,2012,18788
338,18,Lampung,0,semua budidaya,2012,47183
339,19,Kepulauan Bangka Belitung,0,semua budidaya,2012,6770
340,21,Kepulauan Riau,0,semua budidaya,2012,40152
341,31,DKI Jakarta,0,semua budidaya,2012,3081
342,32,Jawa Barat,0,semua budidaya,2012,1100617
343,33,Jawa Tengah,0,semua budidaya,2012,677577
344,34,DI Yogyakarta,0,semua budidaya,2012,192303
345,35,Jawa Timur,0,semua budidaya,2012,456657
346,36,Banten,0,semua budidaya,2012,26908
347,51,Bali,0,semua budidaya,2012,42321
348,52,Nusa Tenggara Barat,0,semua budidaya,2012,102003
349,53,Nusa Tenggara Timur,0,semua budidaya,2012,79423
350,61,Kalimantan Barat,0,semua budidaya,2012,101659
351,62,Kalimantan Tengah,0,semua budidaya,2012,65365
352,63,Kalimantan Selatan,0,semua budidaya,2012,43110
353,64,Kalimantan Timur,0,semua budidaya,2012,138183
354,71,Sulawesi Utara,0,semua budidaya,2012,20012
355,72,Sulawesi Tengah,0,semua budidaya,2012,70494
356,73,Sulawesi Selatan,0,semua budidaya,2012,316560
357,74,Sulawesi Tenggara,0,semua budidaya,2012,130608
358,75,Gorontalo,0,semua budidaya,2012,17694
359,76,Sulawesi Barat,0,semua budidaya,2012,68469
360,81,Maluku,0,semua budidaya,2012,54870
361,82,Maluku Utara,0,semua budidaya,2012,6020
362,91,Papua Barat,0,semua budidaya,2012,14547
363,94,Papua,0,semua budidaya,2012,15678
